"","clay_summary_geo[, 1]","mean","median","var"
"145","1400000US06001421700",16.8379814077025,16,6.09073634539855
"146","1400000US06001422100",40.4305177111717,49,190.01085457472
"147","1400000US06001422500",19.6215334420881,19,23.4088165989615
"148","1400000US06001423500",18.9502369668246,18,12.5384459698774
"149","1400000US06001423800",18.5745296671491,17,38.3604804086051
"150","1400000US06001425102",47.1274611398964,49,48.501371659536
"151","1400000US06037102104",17.8177008177008,17,11.8161254138155
"152","1400000US06037102105",21.0879478827362,22,4.1684352599221
"153","1400000US06037102107",15.7444241316271,15,37.7663547326494
"154","1400000US06037104103",23.745777027027,24,1.35797031710493
"155","1400000US06037104201",9.79726815240834,8,54.8322515244454
"156","1400000US06037104320",13.9440832249675,10,73.9409181244939
"157","1400000US06037104404",15.0787172011662,8,158.498904045456
"158","1400000US06037104701",12.336676217765,10,40.4876342737808
"159","1400000US06037104821",22.1379821958457,8,289.839773634155
"160","1400000US06037106113",16.0378548895899,16,33.8197130183848
"161","1400000US06037106403",7.37081850533808,7,5.40156948626699
"162","1400000US06037106408",5.75172413793103,6,0.913924352702541
"163","1400000US06037106641",22.8593644354293,25,48.7055127216301
"164","1400000US06037106648",17.1590243902439,17,38.7022256097561
"165","1400000US06037107020",8.93296529968454,8,17.9315722576742
"166","1400000US06037108202",24.3755733193553,29,43.8418881869892
"167","1400000US06037109601",18.9835893854749,22,58.8704955295555
"168","1400000US06037111100",23.7884036144578,24,4.07049089349107
"169","1400000US06037111302",17.9627551020408,17,44.7556309966559
"170","1400000US06037113212",11.4853291038858,11,1.30712586382689
"171","1400000US06037113233",11.0385135135135,9,41.0931742594521
"172","1400000US06037113301",17.7979727368053,17,15.4360937908649
"173","1400000US06037113321",13.5673222390318,11,50.4863802579305
"174","1400000US06037115101",15.1283357099206,15,63.7924100453851
"175","1400000US06037115202",23.9025385312783,22,125.669862033662
"176","1400000US06037115401",17.3871900826446,17,30.7739573760074
"177","1400000US06037117102",23.6590389016018,24,0.241672052683983
"178","1400000US06037117303",23.8282425852147,24,0.695907051843801
"179","1400000US06037117405",23.7076923076923,24,0.825423225423225
"180","1400000US06037117510",23.0330969267139,23,2.59131905930333
"181","1400000US06037119201",12.5546357615894,8,157.483342203592
"182","1400000US06037119320",9.69082125603865,8,62.3461898083216
"183","1400000US06037119341",12.0283018867925,8,109.937731388554
"184","1400000US06037119800",18.2320862396956,9,234.206254083929
"185","1400000US06037120106",12.4166666666667,8,52.2591888466413
"186","1400000US06037120107",9.07421875,9,12.3434895833333
"187","1400000US06019002904",6.72478632478632,7,1.91110136537731
"188","1400000US06019002905",6.68298653610771,7,0.646532165158478
"189","1400000US06019002906",5.84373274434014,6,1.00374384897694
"190","1400000US06019003001",5.24603860558917,5,1.50544179562733
"191","1400000US06019003003",6.58158508158508,8,4.09654699042454
"192","1400000US06019003301",6.51208285385501,7,2.60923791598678
"193","1400000US06019003701",9.35006877579092,9,0.622721949843373
"194","1400000US06019003804",10.8301386021822,11,0.872023550105302
"195","1400000US06019003810",10.9554367201426,11,0.746304757212895
"196","1400000US06019004205",10.6512184182987,10,1.56030092253153
"197","1400000US06019004211",11.7976391231029,12,2.17833450535146
"198","1400000US06019004215",13.57,14,1.30890254358388
"199","1400000US06019004405",8.555,10,5.67062206939669
"200","1400000US06019004504",10.0696296296296,10,0.412162725855672
"201","1400000US06019004701",9.86525112290731,10,1.69343663013048
"202","1400000US06019004901",8.25581395348837,10,11.4459393371833
"203","1400000US06019005203",5.3327475102519,5,1.92321184887275
"204","1400000US06019005301",6.388147566719,5,8.12607854594225
"205","1400000US06019005403",8.99171597633136,10,8.82171937458179
"206","1400000US06019005409",9.80650887573965,10,4.74702688121188
"207","1400000US06019005504",5.68009768009768,5,7.13671522709691
"208","1400000US06019005510",9.29260450160772,10,4.21406517365224
"209","1400000US06019005516",9.3234344738541,10,7.27863049957966
"210","1400000US06019005524",6.43710691823899,7,5.96987804461326
"211","1400000US06019005605",6.41007194244604,8,4.87410647482014
"212","1400000US06019005702",5.85618631732169,5,5.01542109515344
"213","1400000US06019005802",4.79737241030824,4,2.60942448144231
"214","1400000US06019006100",7.26230086000282,8,6.81853919632919
"215","1400000US06019006402",9.23809219449227,9,13.2966939667507
"216","1400000US06019006403",11.6498731035297,12,32.1688888004019
"217","1400000US06019006404",15.1667524146124,13,59.3433782753582
"218","1400000US06019006603",7.99416342412451,8,1.14632637265935
"219","1400000US06019007002",6.92537909018356,8,3.02955923747079
"220","1400000US06019007202",6.7996540789853,7,3.04591598238281
"221","1400000US06019007901",18.0581959262852,23,59.438766184257
"222","1400000US06019007902",19.75739855354,17,90.9023072961252
"223","1400000US06019008301",48.3778831505997,58,329.702328497439
"224","1400000US06019008501",6.79880913949568,8,3.86557573941571
"225","1400000US06023000100",11.4265608083724,14,62.2172058919046
"226","1400000US06023000500",14.3352777777778,15,23.0303750270137
"227","1400000US06023001200",15.2730581233548,15,11.4314333224525
"228","1400000US06023010102",15.0217764735038,15,12.6088076751809
"229","1400000US06023010300",17.5032229112725,17,15.1741528101762
"230","1400000US06023010901",18.1842400734919,17,13.593961480946
"231","1400000US06023010902",14.9260090508003,15,10.0979055207053
"232","1400000US06023011100",15.0135430443849,14,15.3665758747802
"233","1400000US06023011500",17.2212538519211,20,26.7903227785385
"234","1400000US06025010400",32.3698084094124,33,21.5916192148315
"235","1400000US06025011201",33.2761508596783,34,14.8437542220679
"236","1400000US06025011400",34.16673290938,35,21.4587777954741
"237","1400000US06025011801",30.0779702970297,30,29.7421241288526
"238","1400000US06025012001",26.1841746248295,26,35.5657601443279
"239","1400000US06027000200",8.1254855283977,9,17.3338869038194
"240","1400000US06027000500",8.34402230953606,8,12.042525014175
"241","1400000US06027000800",7.72897664593091,8,13.7482000624972
"242","1400000US06029000102",8.23354373309288,7,14.7374940668732
"243","1400000US06029000504",7.34890891840607,7,3.30670343559304
"244","1400000US06029000800",10.080946035976,10,0.42830060421787
"245","1400000US06029000902",10.1150954308849,10,0.377370375725639
"246","1400000US06029000907",10.229920294298,10,1.80538643536089
"247","1400000US06029001101",10.918028247023,10,3.22818181748443
"248","1400000US06029001901",7.13139013452915,7,1.32548348612964
"249","1400000US06029002200",19.0415501398322,28,101.269256109296
"250","1400000US06029002804",7.21676489849378,7,0.776449930297124
"251","1400000US06029002808",7.23782852218871,7,0.514853977915032
"252","1400000US06029002814",7.48893685914733,7,5.95519611534153
"253","1400000US06029002818",6.8415227976981,7,0.384085545427776
"254","1400000US06029003103",6.9352207293666,7,1.19385128705703
"255","1400000US06029003113",7.31615120274914,7,2.0306431397287
"256","1400000US06029003114",7.25537098560354,7,0.834416759769409
"257","1400000US06029003115",6.85053713218122,7,2.55522050574672
"258","1400000US06029003121",6.80412670735251,6,2.06569226766151
"259","1400000US06029003122",6.65927895981087,6,1.29593515833933
"260","1400000US06029003400",9.07476948868399,8,9.82088235527654
"261","1400000US06029003600",9.07537976497564,8,14.4317543705923
"262","1400000US06029003807",7.61446503287508,7,0.803186813874095
"263","1400000US06029003812",7.85988225399495,8,0.871514454505013
"264","1400000US06029004101",8.09749763928234,8,0.487068116877543
"265","1400000US06029004302",7.93043647700701,7,4.09163239569119
"266","1400000US06029004702",12.887053679864,9,57.7472318622948
"267","1400000US06029005004",9.1048275862069,9,0.734593133896628
"268","1400000US06029005201",11.5570761982254,11,55.7683665270156
"269","1400000US06029005203",7.24965943368687,6,15.3977470695167
"270","1400000US06029005204",11.3990959662766,11,13.2258635297807
